0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.361504759,0.361504759,0.361504759,0.361504759,0.361504759,0.361504759,0.361504759,0.726836716,0.726836716,0.361504759,0.361504759,0.361504759,0.361504759,0.548866877,0.548866877,0.548866877,0.548866877
0.350183226,0.350183226,0.350183226,0.350183226,0.350183226,0.350183226,0.350183226,0.709140935,0.709140935,0.350183226,0.350183226,0.350183226,0.350183226,0.495574241,0.495574241,0.495574241,0.495574241
0.349830984,0.349830984,0.349830984,0.349830984,0.349830984,0.349830984,0.349830984,0.696896665,0.696896665,0.349830984,0.349830984,0.349830984,0.349830984,0.44479185,0.44479185,0.44479185,0.44479185
0.366759918,0.366759918,0.366759918,0.366759918,0.366759918,0.366759918,0.366759918,0.687382567,0.687382567,0.366759918,0.366759918,0.366759918,0.366759918,0.432465646,0.432465646,0.432465646,0.432465646
0.390822714,0.390822714,0.390822714,0.390822714,0.390822714,0.390822714,0.390822714,0.676457776,0.676457776,0.390822714,0.390822714,0.390822714,0.390822714,0.438177843,0.438177843,0.438177843,0.438177843
0.415508475,0.415508475,0.415508475,0.415508475,0.415508475,0.415508475,0.415508475,0.666232422,0.666232422,0.415508475,0.415508475,0.415508475,0.415508475,0.41237684,0.41237684,0.41237684,0.41237684
0.445673107,0.445673107,0.445673107,0.445673107,0.445673107,0.445673107,0.445673107,0.664035079,0.664035079,0.445673107,0.445673107,0.445673107,0.445673107,0.44227066,0.44227066,0.44227066,0.44227066
0.463190973,0.463190973,0.463190973,0.463190973,0.463190973,0.463190973,0.463190973,0.665627183,0.665627183,0.463190973,0.463190973,0.463190973,0.463190973,0.432296594,0.432296594,0.432296594,0.432296594
0.477010936,0.477010936,0.477010936,0.477010936,0.477010936,0.477010936,0.477010936,0.667902392,0.667902392,0.477010936,0.477010936,0.477010936,0.477010936,0.399227577,0.399227577,0.399227577,0.399227577
0.486299942,0.486299942,0.486299942,0.486299942,0.486299942,0.486299942,0.486299942,0.670506371,0.670506371,0.486299942,0.486299942,0.486299942,0.486299942,0.402687564,0.402687564,0.402687564,0.402687564
0.507418598,0.507418598,0.507418598,0.507418598,0.507418598,0.507418598,0.507418598,0.676590948,0.676590948,0.507418598,0.507418598,0.507418598,0.507418598,0.466595717,0.466595717,0.466595717,0.466595717
0.529927068,0.529927068,0.529927068,0.529927068,0.529927068,0.529927068,0.529927068,0.69188774,0.69188774,0.529927068,0.529927068,0.529927068,0.529927068,0.517540759,0.517540759,0.517540759,0.517540759
0.552750116,0.552750116,0.552750116,0.552750116,0.552750116,0.552750116,0.552750116,0.693134255,0.693134255,0.552750116,0.552750116,0.552750116,0.552750116,0.562949173,0.562949173,0.562949173,0.562949173
0.525363627,0.525363627,0.525363627,0.525363627,0.525363627,0.525363627,0.525363627,0.635257631,0.635257631,0.525363627,0.525363627,0.525363627,0.525363627,0.516104051,0.516104051,0.516104051,0.516104051
